Track Name,Artist Name(s),Album Name,Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Label,song_clean,artist_clean
Overtime,Zach Bryan,Zach Bryan,2023-08-25,190946,True,68,Country,0.377,0.72,4.0,-7.086,1.0,0.0364,0.0217,0.00919,0.138,0.26,142.212,4.0,Warner Records,overtime,zach bryan
Summertime's Close,Zach Bryan,Zach Bryan,2023-08-25,186186,False,67,Country,0.469,0.208,0.0,-9.022,1.0,0.0448,0.607,1.72e-06,0.127,0.215,81.098,4.0,Warner Records,summertimes close,zach bryan
Fear and Friday's,Zach Bryan,Zach Bryan,2023-08-25,171426,False,71,Country,0.523,0.636,7.0,-5.813,1.0,0.0582,0.0541,2.63e-06,0.0716,0.155,128.785,4.0,Warner Records,fear and fridays,zach bryan
Ticking,Zach Bryan,Zach Bryan,2023-08-25,242200,False,64,Country,0.494,0.328,6.0,-8.553,1.0,0.034,0.718,2.91e-06,0.0744,0.206,121.834,5.0,Warner Records,ticking,zach bryan
El Dorado,Zach Bryan,Zach Bryan,2023-08-25,182855,False,65,Country,0.351,0.593,3.0,-5.549,1.0,0.0267,0.678,5.54e-05,0.117,0.358,92.263,4.0,Warner Records,el dorado,zach bryan
Smaller Acts,Zach Bryan,Zach Bryan,2023-08-25,187270,True,68,Country,0.595,0.41,0.0,-5.079,1.0,0.0257,0.776,4.27e-06,0.224,0.141,83.308,4.0,Warner Records,smaller acts,zach bryan
Fear and Friday's (Poem),Zach Bryan,Zach Bryan,2023-08-25,107266,False,61,Country,0.6,0.41,1.0,-10.788,0.0,0.395,0.841,0.0,0.433,0.312,104.337,4.0,Warner Records,fear and fridays,zach bryan
Jake's Piano - Long Island,Zach Bryan,Zach Bryan,2023-08-25,319195,False,62,Country,0.435,0.401,0.0,-7.885,1.0,0.0434,0.782,0.000676,0.113,0.0911,84.001,4.0,Warner Records,jakes piano  long island,zach bryan
Tradesman,Zach Bryan,Zach Bryan,2023-08-25,187729,False,60,Country,0.533,0.389,0.0,-8.428,1.0,0.051,0.85,0.0012,0.104,0.164,76.77,3.0,Warner Records,tradesman,zach bryan
Oklahoman Son,Zach Bryan,Zach Bryan,2023-08-25,249452,False,60,Country,0.635,0.114,4.0,-12.176,1.0,0.0522,0.819,6.35e-06,0.0797,0.0998,72.401,1.0,Warner Records,oklahoman son,zach bryan
Sittin' On Top Of The World,Burna Boy,Sittin' On Top Of The World,2023-06-01,159372,True,57,Afrobeats,0.787,0.848,8.0,-4.095,1.0,0.0516,0.0279,0.0058,0.109,0.681,98.051,4.0,Spaceship/ Bad Habit/Atlantic Records,sittin on top of the world,burna boy
Primera Cita,Carín León,Colmillo De Leche,2023-05-19,186455,False,84,Banda,0.536,0.396,10.0,-7.804,1.0,0.0687,0.604,6.97e-05,0.0969,0.491,157.846,3.0,"Socios Music, LLC",primera cita,carin leon
On My Mama,Victoria Monét,JAGUAR II,2023-08-25,184258,True,67,Alternative R&B,0.675,0.546,4.0,-7.716,0.0,0.0511,0.556,0.00441,0.167,0.607,77.415,4.0,Lovett Music/RCA Records,on my mama,victoria monet
Last Time I Saw You,Nicki Minaj,Last Time I Saw You,2023-09-01,216347,False,57,,0.835,0.43,5.0,-6.268,0.0,0.0389,0.019,0.0718,0.0869,0.305,129.983,4.0,Republic Records,last time i saw you,nicki minaj
Margaritaville,Jimmy Buffett,"Changes In Latitudes, Changes In Attitudes",1977-01-01,250933,False,72,,0.801,0.545,2.0,-13.637,1.0,0.0357,0.709,0.00176,0.104,0.862,124.941,4.0,Geffen*,margaritaville,jimmy buffett
Demons,Doja Cat,Scarlet,2023-09-22,195573,True,61,,0.831,0.362,1.0,-6.085,1.0,0.229,0.000156,0.0162,0.168,0.313,139.941,4.0,Kemosabe Records/RCA Records,demons,doja cat
